onet_soc_code,synonyms,tasks
17-3024.00,"Electro-Mechanic, Electromechanical Technician (EM Technician), Electronics Technician (Electronics Tech), Mechanical Technician (Mechanical Tech)","Operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment to observe or record visual information at sites such as oil rigs, crop fields, buildings, or for similar infrastructure, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment."
29-1041.00,"Optometrist, Optometry Doctor (OD), Therapeutic Optometrist","Diagnose, manage, and treat conditions and diseases of the human eye and visual system. Examine eyes and visual system, diagnose problems or impairments, prescribe corrective lenses, and provide treatment. May prescribe therapeutic drugs to treat specific eye conditions."
25-1111.00,"Assistant Professor, Associate Professor, Criminal Justice Professor, Professor","Teach courses in criminal justice, corrections, and law enforcement administration. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
19-2042.00,"Geologist, Geophysicist, Geoscientist, Project Geologist","Study the composition, structure, and other physical aspects of the Earth. May use geological, physics, and mathematics knowledge in exploration for oil, gas, minerals, or underground water; or in waste disposal, land reclamation, or other environmental problems. May study the Earth's internal composition, atmospheres, and oceans, and its magnetic, electrical, and gravitational forces. Includes mineralogists, paleontologists, stratigraphers, geodesists, and seismologists."
17-2011.00,"Aerospace Engineer, Design Engineer, Flight Test Engineer, Systems Engineer","Perform engineering duties in designing, constructing, and testing aircraft, missiles, and spacecraft. May conduct basic and applied research to evaluate adaptability of materials and equipment to aircraft design and manufacture. May recommend improvements in testing equipment and techniques."
25-2051.00,"Early Childhood Special Education Teacher (ECSE Teacher), Resource Teacher, Special Education Teacher, Teacher","Teach academic, social, and life skills to preschool-aged students with learning, emotional, or physical disabilities. Includes teachers who specialize and work with students who are blind or have visual impairments; students who are deaf or have hearing impairments; and students with intellectual disabilities."
43-1011.00,"Accounting Manager, Customer Service Manager, Customer Service Supervisor, Office Manager",Directly supervise and coordinate the activities of clerical and administrative support workers.
17-3027.00,"Engineering Technician (Engineering Tech), Mechanical Designer, Mechanical Technician (Mechanical Tech), Research and Development Technician (R and D Tech)","Apply theory and principles of mechanical engineering to modify, develop, test, or adjust machinery and equipment under direction of engineering staff or physical scientists."
25-2012.00,"Bilingual Kindergarten Teacher, Classroom Teacher, Kinder Teacher, Teacher",Teach academic and social skills to kindergarten students.
33-9093.00,"Security Screener, Transportation Security Officer (TSO)","Conduct screening of passengers, baggage, or cargo to ensure compliance with Transportation Security Administration (TSA) regulations. May operate basic security equipment such as x-ray machines and hand wands at screening checkpoints."
33-1011.00,"Correctional Officer Captain, Correctional Supervisor",Directly supervise and coordinate activities of correctional officers and jailers.
37-3011.00,"Grounds Maintenance Worker, Grounds Worker, Groundskeeper, Outside Maintenance Worker","Landscape or maintain grounds of property using hand or power tools or equipment. Workers typically perform a variety of tasks, which may include any combination of the following: sod laying, mowing, trimming, planting, watering, fertilizing, digging, raking, sprinkler installation, and installation of mortarless segmental concrete masonry wall units."
15-1211.00,"Business Systems Analyst, Computer Systems Analyst, Programmer Analyst, Systems Analyst","Analyze science, engineering, business, and other data processing problems to develop and implement solutions to complex applications problems, system administration issues, or network concerns. Perform systems management and integration functions, improve existing computer systems, and review computer system capabilities, workflow, and schedule limitations. May analyze or recommend commercially available software."
53-7051.00,"Fork Truck Driver, Forklift Driver, Forklift Operator, Spotter Driver","Operate industrial trucks or tractors equipped to move materials around a warehouse, storage yard, factory, construction site, or similar location."
49-9063.00,"Banjo Repair Person, Luthier, Piano Technician, Piano Tuner","Repair percussion, stringed, reed, or wind instruments. May specialize in one area, such as piano tuning."
17-2131.00,"Materials Engineer, Materials Research Engineer, Metallurgical Engineer, Metallurgist","Evaluate materials and develop machinery and processes to manufacture materials for use in products that must meet specialized design and performance specifications. Develop new uses for known materials. Includes those engineers working with composite materials or specializing in one type of material, such as graphite, metal and metal alloys, ceramics and glass, plastics and polymers, and naturally occurring materials. Includes metallurgists and metallurgical engineers, ceramic engineers, and welding engineers."
